名称,住所,電話番号,サービス種別,開所曜日,提供時間,専門職,療育プログラム,個別療育,親支援,設備,費用,説明
さくらぱれっとアディション,埼玉県さいたま市中央区鈴谷4-5-21,048-858-0300,放課後デイ,月～土,平日１２：００～１８：００ 土曜日１０：００～１６：００ 学校休業日１０：００～１６：００,,粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST、屋外体験活動／創作活動／調理活動,,,多目的運動室、庭、プール設備（夏季のみ）、卓球台,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【放課後デイ】 療育: 粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST、屋外体験活動/創作活動/調理活動 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
放課後等デイサービスまはろ　さいたま与野,埼玉県さいたま市中央区鈴谷7-6-1 コープ野村クローバーシティ与野壱号館1階,048-714-0356,放課後デイ,月～日,平日１４：００～：１８００ 土日祝１０：００～１６：００,OT◎,粗大運動、微細運動、音楽/リトミック、学習支援、日常動作、SST、ダンス／工作活動,,,トランポリン、バウンサ-,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【放課後デイ】 療育: 粗大運動、微細運動、音楽/リトミック、学習支援、日常動作、SST、ダンス/工作活動 専門職: OT◎ 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
児童デイえがお与野,埼玉県さいたま市桜区栄和3-26-22,048-789-7003,児童発達支援・放課後デイ,月～日,（１）児童発達支援　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　平日１２：００～１８：００ 土曜日・日曜日・祝日１０：００～１８：００ （２）放課後等デイサービス　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　平日１４：００～１８：００ 土曜日・日曜日・祝日１０：００～１８：００ 学校休業日１０：００～１８：００,,粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST、公園活動　　　　　　　　　　　　　　　　　　／調理活動　　　　　　　　　　　　　　　　　　　／創作活動,○,,トランポリン、平均台、体操マット、バランスクッション、プロジェクター,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【児童発達支援・放課後デイ】 療育: 粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST、公園活動                  /調理活動                   /創作活動 個別療育あり 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
児童デイサービスあさひ丸さくら,埼玉県さいたま市桜区桜田2-9-2 信田店舗事務所1F,048-711-2834,児童発達支援・放課後デイ,月～土,平日１２：００～１８：００ 土曜日９：００～１７：0０ 学校休業日：９：００～１７：００,,粗大運動、微細運動、音楽/リトミック、日常動作、リズム体操／調理活動／外出,,,トランポリン、ボールプールバランスボール、マット、すべり台,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【児童発達支援・放課後デイ】 療育: 粗大運動、微細運動、音楽/リトミック、日常動作、リズム体操/調理活動/外出 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
プティ倶楽部　２号館,埼玉県さいたま市桜区上大久保206-1 中村ビル2F,048-711-3244,放課後デイ,月～土,平日１４：００～1８：００ 土曜日９：００～１７：００ 学校休業日９：００～１７：００,,粗大運動、微細運動、学習支援、日常動作、SST、調理活動(おやつレクレーション)／課外活動(公園遊び、博物館、畑など)／プログラミング教育活動(PC/タブレット),,,トランポリン、バランスボール、平均台、マット、鉄棒,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【放課後デイ】 療育: 粗大運動、微細運動、学習支援、日常動作、SST、調理活動(おやつレクレーション)/課外活動(公園遊び、博物館、畑など)/プログラミング教育活動(PC/タブレット) 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
グローバルキッズメソッド６６,埼玉県さいたま市桜区上大久保502-1,048-816-4526,児童発達支援,月～土、祝日,平日８：００～１８：００ 土曜日８：００～１８：００ 学校休業日８：００～１８：００,,粗大運動、微細運動、言語指導、音楽/リトミック、日常動作、SST、ダンス／郊外活動／創作活動,○,,巧技台、トランポリン、平均台、すべり台、体操マット,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【児童発達支援】 療育: 粗大運動、微細運動、言語指導、音楽/リトミック、日常動作、SST、ダンス/郊外活動/創作活動 個別療育あり 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
しびらきっず,埼玉県さいたま市桜区新開2-6-23 鴨川ハイツ101,048-711-7899,放課後デイ,月～土,平日１２:００～１７:３０ 土曜日祝日９:００～１７:００ 学校休業日９:００～１７:００,PT◎,粗大運動、微細運動、言語指導、日常動作、SST、調理活動／外出支援／宿泊支援,,,テント,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【放課後デイ】 療育: 粗大運動、微細運動、言語指導、日常動作、SST、調理活動/外出支援/宿泊支援 専門職: PT◎ 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
ハッピーテラス浦和教室,埼玉県さいたま市桜区西堀8-27-9 ニュー氷川ハイツ1階,048-840-6587,放課後デイ,月～金,平日１３：３０～１９：００ 長期休暇９：００～１７：００,公認心理師◎、臨床心理士◎,SST,,,長椅子、椅子、ホワイトボード,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【放課後デイ】 療育: SST 専門職: 公認心理師◎、臨床心理士◎ 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
児童デイサービスあさひ丸みらい,埼玉県さいたま市桜区西堀9-9-9,048-711-9981,児童発達支援・放課後デイ,月～土,平日１４：００～１８：００(放デイのみ) 土曜日９：００～１５：００　１１：００～１７；００ 学校休業日９：００～１５:００　１１：００～１７；００,公認心理師◎,微細運動、音楽/リトミック、日常動作、ダンス／創作活動,,,バランスボール、ストレッチポール,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【児童発達支援・放課後デイ】 療育: 微細運動、音楽/リトミック、日常動作、ダンス/創作活動 専門職: 公認心理師◎ 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
児童デイ　太陽の歌,埼玉県さいたま市桜区大字塚本171,048-764-9902,児童発達支援・放課後デイ,月～土,平日１４：００～１８：００ 土曜日１０：００～１６：００ 学校休業日１０：００～１６：００,,粗大運動、微細運動、日常動作、ダンス／創作活動,○,,トランポリン、バランスボール、ボールプール、滑り台,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【児童発達支援・放課後デイ】 療育: 粗大運動、微細運動、日常動作、ダンス/創作活動 個別療育あり 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
児童デイサービス　そらまめ,埼玉県さいたま市桜区町谷4-11-25,048-872-1333,放課後デイ,月～土,平日１１：００～１７：００ 土曜日１０：００～１６：００ 学校休業日１０：００～１６：００,,ダンス／調理教室／習字教室,,,,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【放課後デイ】 療育: ダンス/調理教室/習字教室 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
さいたま市療育センター さくら草,埼玉県さいたま市桜区田島2-16-2,048-710-5811,児童発達支援,月～金,９：３０～１４：００ 水曜日は１３：３０まで,OT○,粗大運動、微細運動、音楽/リトミック、日常動作、SST、創作活動,○,,ボールプール、ホーススイング、トランポリン、バランスボール、巧技台,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【児童発達支援】 療育: 粗大運動、微細運動、音楽/リトミック、日常動作、SST、創作活動 専門職: OT○ 個別療育あり 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
コペルプラス　西浦和教室,埼玉県さいたま市桜区田島5-24-15 タカラ第二ビル1階,048-872-9580,児童発達支援,日～土,１０：００～１８：００,精神保健福祉士◎,粗大運動、言語指導、日常動作、SST、創作活動／音楽活動／ゲーム,○,,トランポリン、鉄棒、平均台、ボールプール,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【児童発達支援】 療育: 粗大運動、言語指導、日常動作、SST、創作活動/音楽活動/ゲーム 専門職: 精神保健福祉士◎ 個別療育あり 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
児童デイえがお,埼玉県さいたま市浦和区岸町2-5-13,048-789-7177,児童発達支援・放課後デイ,月～日,（１）児童発達支援　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　平日１２：００～１８：００ 土曜日・日曜日・祝日１０：００～１８：００ （２）放課後等デイサービス　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　平日１４：００～１８：００ 土曜日・日曜日・祝日１０：００～１８：００ 学校休業日：１０：００～１８：００,,粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST、公園活動／調理活動／創作活動,○,,すべり台、カラフルバルーン、プロジェクター,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【児童発達支援・放課後デイ】 療育: 粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST、公園活動/調理活動/創作活動 個別療育あり 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
放課後等デイサービス　ひろば,埼玉県さいたま市浦和区駒場1-27-13 松井ビル101,048-677-7192,放課後デイ,月～金,平日１３：３０～１７：３０ 学校休業日１０：００～１６：００,,粗大運動、微細運動、音楽/リトミック、学習支援、日常動作、ダンス／創作活動,○,,トランポリン、バランスボール,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【放課後デイ】 療育: 粗大運動、微細運動、音楽/リトミック、学習支援、日常動作、ダンス/創作活動 個別療育あり 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
体幹・脳幹・ＳＳＴソーシャルブレインズ　浦和西口教室,埼玉県さいたま市浦和区高砂3-10-4 八千代ビル3階,048-767-3142,放課後デイ,月～土,平日１５：００～１８：００ 土曜日１０：００～１６：００ 学校休業日１０：００～１６：００,,粗大運動、微細運動、言語指導、学習支援、日常動作、SST、チームビルディング／科学実験／工作,○,○,トランポリン、平均台,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【放課後デイ】 療育: 粗大運動、微細運動、言語指導、学習支援、日常動作、SST、チームビルディング/科学実験/工作 個別療育あり 親支援あり 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
てらぴぁぽけっと与野駅前教室,埼玉県さいたま市浦和区上木崎1-9-19 エムズアインス4階,048-711-5505,児童発達支援,日～土,１０：００～１7：００,ST○、臨床心理士◎,粗大運動、音楽/リトミック、日常動作、SST,○,,トランポリン、平均台,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【児童発達支援】 療育: 粗大運動、音楽/リトミック、日常動作、SST 専門職: ST○、臨床心理士◎ 個別療育あり 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
コペルプラス　与野教室,埼玉県さいたま市浦和区上木崎1-10-17 三村K2ビル2階,048-767-7207,児童発達支援,月～土,平日１０：００～１８：００ 土曜日１０：００～１８：００,,粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST、製作活動,○,,トランポリン、バランスボール、平均台、鉄棒,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【児童発達支援】 療育: 粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST、製作活動 個別療育あり 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
放課後Ｄａｙ　体幹・脳幹を鍛える人財育成塾　ソーシャルブレインズ,埼玉県さいたま市浦和区上木崎4-9-11 横田ビル2階,048-711-3019,放課後デイ,月～土,平日１５：００～１８：００ 土曜日１０：００～１６：００ 学校休業日１０：００～１６：００,,粗大運動、微細運動、言語指導、学習支援、日常動作、SST、チームビルディング／科学実験／工作,○,○,トランポリン、平均台,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【放課後デイ】 療育: 粗大運動、微細運動、言語指導、学習支援、日常動作、SST、チームビルディング/科学実験/工作 個別療育あり 親支援あり 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
放課後等デイサービス　ステップ・モモ,埼玉県さいたま市浦和区上木崎5-13-1,048-831-0744,放課後デイ,月～金,平日１４：００～１８：００ 学校休業日１０：００～１７：００,,学習支援、日常動作、SST、創作活動／戸外活動（公園遊び）,,,室内サーキット、バランスボール,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【放課後デイ】 療育: 学習支援、日常動作、SST、創作活動/戸外活動(公園遊び) 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
ＹＭＣＡクローバークラブ,埼玉県さいたま市浦和区常盤9-19-6,048-834-0236,放課後デイ,火～土,平日１５：３０～１９：３０ 土曜日１０：００～１６：００ 学校休業日１０：００～１６：００,,SST、野外活動／調理活動／創作活動,,,,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【放課後デイ】 療育: SST、野外活動/調理活動/創作活動 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
ビーポップ,埼玉県さいたま市浦和区神明2-14-5,048-824-8141,放課後デイ,月～土,月～土１０：００～１８：００,,粗大運動、微細運動、音楽/リトミック、SST,,,トランポリン、バランスボール、パラシュート、ゆらんこ、滑り台,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【放課後デイ】 療育: 粗大運動、微細運動、音楽/リトミック、SST 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
みんなのアトリエ,埼玉県さいたま市浦和区大東3-23-6,048-829-7123,児童発達支援・放課後デイ,月～日,火～土・祝９：３０～１２：３０、１３：３０～１８：３０ 日・月９：３０～１２：３０、１３：３０～１６：３０,OT○,粗大運動、微細運動、音楽/リトミック、学習支援、日常動作、SST、創作と制作の活動／栽培の活動／食育の活動,○,,木の玉のボールプール、ブランコ、滑り台、ハンギングエッグチェア、中庭,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【児童発達支援・放課後デイ】 療育: 粗大運動、微細運動、音楽/リトミック、学習支援、日常動作、SST、創作と制作の活動/栽培の活動/食育の活動 専門職: OT○ 個別療育あり 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
児童デイサービスやまざくら,埼玉県さいたま市浦和区大東3-40-11,048-764-8220,児童発達支援・放課後デイ,月～土,平日１０：００～１９：００ 土曜日９：３０～１８：３０ 学校休業日９：３０～１８：３０,公認心理師○、精神保健福祉士○,粗大運動、微細運動、音楽/リトミック、学習支援、日常動作、SST,,○,トランポリン、平均台,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【児童発達支援・放課後デイ】 療育: 粗大運動、微細運動、音楽/リトミック、学習支援、日常動作、SST 専門職: 公認心理師○、精神保健福祉士○ 親支援あり 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
ハビー浦和駅東口教室,埼玉県さいたま市浦和区東高砂町6-14 東高砂ビル1階,048-762-7680,児童発達支援・放課後デイ,水～月,全日９：４５～１７：３０,ST○,粗大運動、微細運動、言語指導、日常動作、SST、認知機能訓練活動／課外活動,○,,トランポリン、ボールプール、バランスボール,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【児童発達支援・放課後デイ】 療育: 粗大運動、微細運動、言語指導、日常動作、SST、認知機能訓練活動/課外活動 専門職: ST○ 個別療育あり 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
コペルプラス　浦和教室,埼玉県さいたま市浦和区東仲町25-5-1 バティマE6階・7階,048-762-7865,児童発達支援・放課後デイ,月～日,6F　１０：００～１８：００ 7F　放課後・学休日　１０：００～１８：００,精神保健福祉士◎,粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST,○,○,トランポリン、ボールプール、鉄棒、バランスストーン、平均台,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【児童発達支援・放課後デイ】 療育: 粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST 専門職: 精神保健福祉士◎ 個別療育あり 親支援あり 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
TEENS北浦和,埼玉県さいたま市浦和区北浦和4-3-18 北浦和4-ビル4階,050-2018-3220,放課後デイ,月～日,月・金　　 １４：３０～１８：３０ 火・水・木 １０：３０～１８：３０ ※１２：３０～１４：３０を除く  土日祝　１０：００～１７：００ ※１２：３０～１３：３０を除く,公認心理師○,微細運動、学習支援、SST,○,,無,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【放課後デイ】 療育: 微細運動、学習支援、SST 専門職: 公認心理師○ 個別療育あり 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
あおば,埼玉県さいたま市浦和区木崎1-9-28,048-627-4040,放課後デイ,月～金,平日１３：３０～１７：３０ 学校休業日１０：００～１６：００,,粗大運動、微細運動、学習支援、日常動作、調理活動／創作活動,○,,トランポリン、バランスボール,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【放課後デイ】 療育: 粗大運動、微細運動、学習支援、日常動作、調理活動/創作活動 個別療育あり 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
さいたま市さくら草学園,埼玉県さいたま市浦和区領家1-5-16,048-886-5214,児童発達支援,月～金,平日９：００～１７：００,ST○、精神保健福祉士○,粗大運動、微細運動、言語指導、音楽/リトミック、日常動作、スイミング,,,ボールプール、バランスボール、巧技台、平均台、滑り台,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【児童発達支援】 療育: 粗大運動、微細運動、言語指導、音楽/リトミック、日常動作、スイミング 専門職: ST○、精神保健福祉士○ 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
はばたき＆らんどおん,埼玉県さいたま市浦和区領家3-4-8,048-767-6210 / 048-711-6660,児童発達支援・放課後デイ,月～土,平日１４：００～１８：３０ 土曜日１０：００～１６：００ 学校休業日：１０：００～１６：００ 平日９：１５～１６：３０ 土曜（隔週）９：１５～１３：３０,公認心理師◎、臨床心理士○,粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST、食育／外出体験活動／戸外活動（散歩など）,,,鉄棒、トランポリン、バランスボール、ボールプール、滑り台,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【児童発達支援・放課後デイ】 療育: 粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST、食育/外出体験活動/戸外活動(散歩など) 専門職: 公認心理師◎、臨床心理士○ 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
グローバルキッズメソッド７１,埼玉県さいたま市南区円正寺502-8,048-767-5283,児童発達支援,月～土、祝日,平日８：００～１８：００ 土曜日８：００～１８：００ 学校休業日８：００～１８：００,公認心理師○,粗大運動、微細運動、言語指導、音楽/リトミック、日常動作、SST、ダンス／郊外活動／創作活動,○,,巧技台、トランポリン、平均台、すべり台、体操マット,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【児童発達支援】 療育: 粗大運動、微細運動、言語指導、音楽/リトミック、日常動作、SST、ダンス/郊外活動/創作活動 専門職: 公認心理師○ 個別療育あり 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
児童デイサービスあさひ丸リズム,埼玉県さいたま市南区曲本4-5-16,048-767-4888,児童発達支援・放課後デイ,月～土,平日１２：００～１８：００ 土曜日９：００～１７：００ 学校休業日９：００～１７：００,,粗大運動、微細運動、日常動作、パネルシアター,,,トランポリン、バランスボール、バランスボード、バランスホッピング、バランスストーン,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【児童発達支援・放課後デイ】 療育: 粗大運動、微細運動、日常動作、パネルシアター 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
さくらアフタースクール南浦和,埼玉県さいたま市南区根岸4-15-4,048-799-2440,放課後デイ,月～土,平日１４：００～１７：３０ 土曜日１０：３０～１７：００ 学校休業日１０：３０～１７：００,,粗大運動、微細運動、音楽/リトミック、学習支援、日常動作、SST、ダンス／調理活動／創作活動,○,,トランポリン、バランスボール、平均台,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【放課後デイ】 療育: 粗大運動、微細運動、音楽/リトミック、学習支援、日常動作、SST、ダンス/調理活動/創作活動 個別療育あり 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
体幹・脳幹・ＳＳＴソーシャルブレインズ武蔵浦和教室,埼玉県さいたま市南区根岸5-15-8 YKビル3階,048-789-7617,放課後デイ,月～水　　　　　　金～土,平日１５：００～１８：００ 土曜日１０：００～１６：００ 学校休業日１０：００～１６：００,精神保健福祉士◎,粗大運動、微細運動、言語指導、学習支援、日常動作、SST、チームビルディング／科学実験／工作,○,○,トランポリン、平均台,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【放課後デイ】 療育: 粗大運動、微細運動、言語指導、学習支援、日常動作、SST、チームビルディング/科学実験/工作 専門職: 精神保健福祉士◎ 個別療育あり 親支援あり 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
ててスクール　武蔵浦和教室,埼玉県さいたま市南区四谷1-5-1 貴秋館202,048-845-7055,放課後デイ,月～土,平日１０：３０～１９：３０ 土曜日９：００～１８：００ 学校休業日９：００～１８：００,,学習支援、日常動作、創作活動／絵画制作,○,,,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【放課後デイ】 療育: 学習支援、日常動作、創作活動/絵画制作 個別療育あり 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
放課後等デイサービス　ウィズ・ユー武蔵浦和,埼玉県さいたま市南区四谷2-5-11 一英ビル1階,048-708-5541,児童発達支援・放課後デイ,月～土,平日１３：３０～１７：３０ 土曜日１０：００～１６：００ 祝日・長期休暇１０：００～１６：００,,粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST、ダンス／調理活動／創作活動,○,,トランポリン、エアマット、バスケットゴール、バランスボール,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【児童発達支援・放課後デイ】 療育: 粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST、ダンス/調理活動/創作活動 個別療育あり 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
児童デイサービスあさひ丸,埼玉県さいたま市南区鹿手袋6-7-19 1F,048-799-2113,児童発達支援・放課後デイ,月～土,平日１４：００～１８：００ 土曜日９：００～１６：００ 学校休業日：９：００～１６：００,,音楽/リトミック、日常動作、調理活動／園芸,,,花壇,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【児童発達支援・放課後デイ】 療育: 音楽/リトミック、日常動作、調理活動/園芸 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
児童発達支援・放課後等デイサービス　ぼれろ,埼玉県さいたま市南区太田窪1987 クリーンハイツ南浦和1階,048-711-5067,児童発達支援・放課後デイ,月～金 第四土曜,【児童発達支援】 平日１０：００～１３：００、１４：００～１７：００ 土曜・学校休業日１０：００～１３：００、１４：００～１６：００ 【放課後等デイサービス】平日１０：００～１７：００ 土曜日１０：００～１６：００ 学校休業日１０：００～１６：００,公認心理師◎,粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST、創作活動／調理プログラム／タッチパネルを使用したソーシャルスキルトレーニング（運動活動）,○,,プロジェスチャー、運動用マット、パソコン,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【児童発達支援・放課後デイ】 療育: 粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST、創作活動/調理プログラム/タッチパネルを使用したソーシャルスキルトレーニング(運動活動) 専門職: 公認心理師◎ 個別療育あり 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
キッズさくら草,埼玉県さいたま市南区大字太田窪3501-2,048-813-7426,放課後デイ,月～金,学校休業日以外１３：００～１７：００ 学校休業日１１：００～１７：００,PT○、公認心理師○,創作活動／動作法,,,,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【放課後デイ】 療育: 創作活動/動作法 専門職: PT○、公認心理師○ 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
アフタースクール　わんぱく,埼玉県さいたま市南区大谷口5408,048-873-2828,放課後デイ,月～金,平日1４：００～１７：１５　　　　　　　　　　　　　　学校休業日９：３０～１５：３０,,粗大運動、微細運動、言語指導、音楽/リトミック、日常動作、SST、創作活動／作業活動／音楽,○,,ハンモック、トランポリン、バランスボール、卓球セット,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【放課後デイ】 療育: 粗大運動、微細運動、言語指導、音楽/リトミック、日常動作、SST、創作活動/作業活動/音楽 個別療育あり 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
わんぱくキッズ,埼玉県さいたま市南区大谷口5651,048-762-8377,児童発達支援・放課後デイ,月～金,平日１０：００～１７：３０ 土曜日　休み 学校休業日：９：００～１８：００,OT○、公認心理師○,粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST、戸外活動／ダンス／創作活動,○,○,トランポリン、ボールプール、バランスボール、バランスボード,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【児童発達支援・放課後デイ】 療育: 粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST、戸外活動/ダンス/創作活動 専門職: OT○、公認心理師○ 個別療育あり 親支援あり 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
児童デイサービスあさひ丸パーク,埼玉県さいたま市南区大谷場2-4-5 オークパレス103号室,048-711-7705,児童発達支援・放課後デイ,月～土・祝日,平日１２：００～１８：００ 土曜日・学校休業日９：００～１７：００,PT◎,粗大運動、微細運動、日常動作、SST、サーキット運動／製作活動／課外活動（お買い物・遠足など）,○,,鉄棒、トランポリン、ボールプール、バランスボール、ボルダリング,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【児童発達支援・放課後デイ】 療育: 粗大運動、微細運動、日常動作、SST、サーキット運動/製作活動/課外活動(お買い物・遠足など) 専門職: PT◎ 個別療育あり 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
